"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000000","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","3000000","0","","","","","","","","","","","","8000000","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","",
"Andorra","AND","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","0","9000000","8000000","2000000","","13000000","12000000","35000000","21000000","56000000","","2000000","","","","4000000","","","","","217000000","","","99000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","8000000","","","","","","","","","14000000","","","22000000","1000000","","","2000000","","","","","28000000","6000000","32000000","","","","","","","3000000","11000000","17000000","3000000","","34000000","39000000","3000000","69000000","106000000","73000000","131000000","92000000","97000000","113000000","104000000","",
"Argentina","ARG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","6000000","","4000000","","","0","8000000","","0","","11000000","","","","1000000","","","8000000","1000000","24000000","3000000","1000000","","","","4000000","1000000","","6000000","0","","11000000","4000000","5000000","","","","","2000000","6000000","2000000","","","","2000000","","","","","1000000","","","","","","","","","",
"Armenia","ARM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","","","","","","","","","","","","",
"American Samoa","ASM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","2000000","4000000","","","","","","","26000000","17000000","36000000","6000000","72000000","92000000","131000000","113000000","62000000","21000000","22000000","15000000","15000000","24000000","31000000","62000000","10000000","57000000","89000000","18000000","18000000","158000000","85000000","","30000000","36000000","36000000","16000000","20000000","4000000","","","43000000","47000000","44000000","2000000","49000000","14000000","18000000","26000000","80000000","115000000","143000000","45000000","54000000","97000000","87000000","134000000","98000000","38000000","148000000","",
"Austria","AUT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","0","0","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","0","0","","","37000000","126000000","54000000","70000000","60000000","56000000","58000000","248000000","40000000","30000000","12000000","12000000","30000000","20000000","20000000","10000000","17000000","","18000000","1000000","29000000","23000000","24000000","17000000","83000000","3000000","3000000","4000000","63000000","100000000","15000000","44000000","49000000","53000000","25000000","29000000","15000000","10000000","16000000","22000000","6000000","3000000","",
"Azerbaijan","AZE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","0","2000000","0","1000000","","12000000","","","5000000","","0","","","","","","","2000000","3000000","1000000","19000000","41000000","89000000","115000000","3000000","19000000","","18000000","36000000","1000000","1000000","","","33000000","167000000","59000000","93000000","46000000","45000000","26000000","37000000","35000000","15000000","47000000","159000000","59000000","19000000","217000000","243000000","9000000","116000000","22000000","55000000","10000000","12000000","7000000","12000000","16000000","42000000","",
"Benin","BEN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","106000000","","","5000000","6000000","42000000","16000000","28000000","55000000","1000000","21000000","6000000","39000000","167000000","2000000","10000000","37000000","44000000","19000000","86000000","5000000","9000000","4000000","16000000","4000000","2000000","13000000","21000000","14000000","70000000","61000000","30000000","14000000","","",
"Bahrain","BHR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","",
"Bosnia and Herzegovina","BIH","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","","","","","","","14000000","","3000000","","","","","","","",
"Belarus","BLR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","","7000000","129000000","341000000","63000000","452000000","293000000","49000000","63000000","57000000","19000000","53000000","43000000","6000000","224000000","41000000","159000000","96000000","65000000","268000000","68000000","142000000","152000000","50000000","45000000","115000000","",
"Belize","BLZ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","2000000","12000000","","","","","","","","3000000","","0","","","32000000","59000000","104000000","145000000","179000000","70000000","156000000","62000000","122000000","196000000","267000000","197000000","126000000","191000000","183000000","47000000","96000000","114000000","90000000","36000000","54000000","33000000","23000000","23000000","16000000","","","","19000000","","46000000","1000000","44000000","53000000","92000000","43000000","143000000","31000000","33000000","31000000","42000000","41000000","111000000","37000000","100000000","10000000","",
"Barbados","BRB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24000000","","","","","12000000","","","","",
"Bhutan","BTN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","52000000","314000000","188000000","214000000","253000000","111000000","102000000","53000000","197000000","166000000","196000000","293000000","327000000","130000000","121000000","148000000","329000000","169000000","190000000","195000000","161000000","130000000","259000000","120000000","108000000","100000000","261000000","279000000","153000000","49000000","101000000","121000000","143000000","146000000","167000000","263000000","160000000","95000000","40000000","79000000","74000000","129000000","183000000","288000000","286000000","242000000","244000000","342000000","247000000","192000000","250000000","330000000","277000000","191000000","203000000","346000000","120000000","72000000","111000000","188000000","",
"Central Europe and the Baltics","CEB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","5000000","5000000","12000000","111000000","237000000","234000000","337000000","327000000","325000000","351000000","268000000","280000000","289000000","211000000","241000000","","","","344000000","273000000","259000000","406000000","306000000","224000000","","","399000000","","","50000000","118000000","102000000","","","580000000","431000000","264000000","141000000","","","172000000","","222000000","","","259000000","346000000","267000000","","","","","157000000","353000000","","","","","","","",
"Switzerland","CHE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","442000000","500000000","530000000","337000000","379000000","484000000","367000000","261000000","91000000","104000000","18000000","42000000","34000000","54000000","89000000","395000000","480000000","260000000","196000000","446000000","482000000","513000000","398000000","314000000","512000000","344000000","337000000","303000000","352000000","311000000","454000000","482000000","446000000","234000000","173000000","139000000","186000000","118000000","211000000","280000000","182000000","209000000","166000000","185000000","255000000","253000000","296000000","302000000","459000000","229000000","251000000","327000000","230000000","175000000","330000000","471000000","212000000","173000000","237000000","254000000","",
"Channel Islands","CHI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","0","","","0","","0","0","","1000000","","","3000000","3000000","4000000","4000000","","3000000","8000000","","","","29000000","","2000000","1000000","1000000","","1000000","","","","","","100000000","","","","","","20000000","","","","0","","",
"China","CHN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","51000000","11000000","67000000","386000000","619000000","410000000","730000000","657000000","893000000","1292000000","1238000000","674000000","511000000","668000000","586000000","224000000","617000000","560000000","949000000","642000000","1504000000","1770000000","1929000000","1263000000","1861000000","2605000000","1411000000","1041000000","941000000","1312000000","700000000","1436000000","1105000000","1010000000","768000000","429000000","353000000","332000000","299000000","515000000","525000000","700000000","413000000","286000000","668000000","510000000","652000000","1140000000","1478000000","1277000000","1540000000","2080000000","1226000000","1799000000","2372000000","1346000000","1140000000","1423000000","",
"Cote d'Ivoire","CIV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","",
"Cameroon","CMR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","22000000","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","","","","","","","","","","0","","","","","10000000","","10000000","",
"Comoros","COM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","",
"Caribbean small states","CSS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","1000000","","","12000000","10000000","8000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36000000","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202000000","319000000","143000000","126000000","24000000","21000000","57000000","81000000","88000000","60000000","64000000","1000000","70000000","44000000","32000000","32000000","23000000","4000000","10000000","8000000","40000000","26000000","150000000","148000000","88000000","88000000","13000000","",
"Germany","DEU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","156000000","12000000","146000000","133000000","438000000","332000000","713000000","775000000","574000000","739000000","1434000000","1364000000","1377000000","226000000","1208000000","1446000000","1662000000","1895000000","1671000000","1464000000","1591000000","1896000000","1525000000","2246000000","2799000000","1283000000","1373000000","924000000","1398000000","1285000000","1856000000","2395000000","1490000000","1489000000","2843000000","1509000000","1950000000","939000000","1808000000","1858000000","1612000000","896000000","906000000","1652000000","1111000000","2071000000","2758000000","3292000000","2362000000","2461000000","2664000000","1317000000","747000000","779000000","1788000000","1766000000","2514000000","1982000000","1071000000","1185000000","",
"Djibouti","DJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","20000000","","","","60000000","20000000","","131000000","28000000","3000000","","","","","","23000000","","","","","18000000","29000000","64000000","115000000","","","","117000000","40000000","","72000000","10000000","","183000000","272000000","16000000","","","1000000","6000000","20000000","1000000","10000000","5000000","","","9000000","6000000","17000000","14000000","8000000","30000000","33000000","9000000","17000000","25000000","25000000","21000000","28000000","4000000","",
"Dominican Republic","DOM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","",
"Algeria","DZA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","6000000","","","","","","","","","","","","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","",
"East Asia & Pacific (excluding high income)","EAP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","51000000","18000000","67000000","386000000","619000000","410000000","730000000","657000000","905000000","","","","","","","","","","","","","","","","","","","","","","","","","1076000000","","","","447000000","","","","841000000","492000000","314000000","803000000","534000000","673000000","1166000000","1483000000","1285000000","1540000000","2095000000","1242000000","1799000000","2460000000","1442000000","1155000000","1431000000","",
"Early-demographic dividend","EAR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","58000000","","70000000","","","164000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","973000000","",
"East Asia & Pacific","EAS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","286000000","98000000","155000000","26000000","81000000","","","423000000","","","","","","","","","","","","791000000","","","","","","","","","","1309000000","1255000000","","","","","","1047000000","608000000","","","","","","","","","","","","","","","","","","","","2299000000","","","",
"Europe & Central Asia (excluding high income)","ECA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1802000000","4139000000","4012000000","4477000000","2859000000","5887000000","5181000000","5931000000","6315000000","5975000000","6700000000","5704000000","5927000000","6411000000","7072000000","5849000000","7253000000","9722000000","9994000000","9119000000","6406000000","6866000000","7874000000","6587000000","7052000000","5169000000","",
"Europe & Central Asia","ECS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3992000000","3066000000","3216000000","3503000000","4518000000","4251000000","4977000000","5485000000","4826000000","4988000000","4919000000","7475000000","7400000000","6698000000","6703000000","8015000000","8015000000","8439000000","8927000000","8887000000","10101000000","12222000000","11610000000","11217000000","11397000000","9705000000","8260000000","8593000000","8491000000","9199000000","7261000000","6984000000","8180000000","9366000000","9396000000","9988000000","11377000000","13274000000","11161000000","12877000000","10844000000","11569000000","11238000000","11611000000","12644000000","13307000000","15255000000","16813000000","15457000000","14556000000","14368000000","18178000000","16065000000","16205000000","14879000000","15194000000","16394000000","15524000000","13343000000","13112000000","",
"Ecuador","ECU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","","","","2000000","","",
"Egypt, Arab Rep.","EGY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","0","7000000","8000000","2000000","","13000000","3000000","26000000","15000000","39000000","","","","","16000000","","69000000","80000000","13000000","29000000","77000000","81000000","71000000","37000000","5000000","19000000","61000000","65000000","63000000","20000000","","13000000","22000000","15000000","9000000","5000000","5000000","","","","","","","","","","","","","","","","","7000000","22000000","","","","2000000","",
"Euro area","EMU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1302000000","1342000000","1489000000","1690000000","2348000000","1945000000","2801000000","2595000000","2640000000","2680000000","3484000000","4401000000","4444000000","3657000000","3961000000","4744000000","4557000000","5548000000","6039000000","6243000000","7301000000","8422000000","8078000000","7853000000","7846000000","6760000000","5213000000","4032000000","4713000000","4760000000","4435000000","4542000000","3464000000","3573000000","4956000000","3669000000","4990000000","6094000000","6315000000","4805000000","3333000000","2935000000","3242000000","3907000000","4075000000","5577000000","7285000000","8473000000","6246000000","6720000000","4848000000","6181000000","4089000000","4400000000","5925000000","6118000000","6371000000","7177000000","5001000000","6462000000","",
"Eritrea","ERI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","0","","","","","","","0","","","","","","","","","","","","","","",
"Spain","ESP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1000000","5000000","6000000","6000000","7000000","21000000","21000000","7000000","7000000","6000000","70000000","140000000","4000000","4000000","84000000","267000000","46000000","25000000","38000000","18000000","10000000","130000000","251000000","352000000","242000000","85000000","177000000","148000000","141000000","174000000","108000000","100000000","65000000","98000000","237000000","82000000","105000000","625000000","162000000","43000000","46000000","8000000","16000000","95000000","52000000","108000000","840000000","601000000","602000000","951000000","263000000","1429000000","546000000","728000000","1050000000","1163000000","471000000","820000000","1025000000","1061000000","",
"Estonia","EST","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","","","","","","","","","","","","","","","","","","","0","","","","","",
"Ethiopia","ETH","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","35000000","","51000000","","","","","","","","","","17000000","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1365000000","1392000000","1545000000","1814000000","2667000000","2231000000","3194000000","3108000000","3053000000","3070000000","4014000000","5231000000","4871000000","3883000000","4277000000","5196000000","5033000000","5983000000","6437000000","6779000000","7736000000","8987000000","8573000000","8309000000","8333000000","7198000000","5929000000","4639000000","5552000000","5213000000","4856000000","4810000000","3699000000","4126000000","5873000000","4215000000","5534000000","6282000000","6715000000","5504000000","3847000000","4010000000","3602000000","4640000000","4436000000","6370000000","8023000000","9060000000","6825000000","7259000000","5552000000","6925000000","4753000000","5149000000","6342000000","6541000000","6871000000","7416000000","5311000000","6685000000","",
"Fragile and conflict affected situations","FCS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","","","","3000000","","","2000000","","17000000","","","","","","47000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","60000000","1000000","1000000","","","1000000","86000000","33000000","33000000","33000000","2000000","39000000","30000000","","63000000","63000000","","","63000000","63000000","","","20000000","","","","","","1000000","","","22000000","11000000","17000000","26000000","26000000","9000000","10000000","34000000","28000000","12000000","33000000","34000000","40000000","34000000","52000000","138000000","77000000","79000000","52000000","61000000","41000000","104000000","77000000","93000000","20000000","43000000","25000000","42000000","24000000","",
"Fiji","FJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","10000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","942000000","971000000","974000000","1232000000","1417000000","1196000000","1646000000","1533000000","1483000000","1460000000","1692000000","2298000000","2603000000","2875000000","2096000000","2190000000","2006000000","2677000000","3297000000","3009000000","3847000000","3786000000","3828000000","3461000000","3008000000","4037000000","3023000000","1800000000","1994000000","2289000000","1818000000","1200000000","1250000000","979000000","901000000","1018000000","1937000000","3272000000","3167000000","1817000000","1082000000","1416000000","1433000000","1400000000","2283000000","1817000000","1666000000","2369000000","1968000000","1888000000","866000000","1731000000","1010000000","1468000000","1627000000","1995000000","2041000000","2367000000","1773000000","3368000000","",
"Faroe Islands","FRO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
