"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"United Kingdom","GBR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","2147000000","1174000000","1116000000","1297000000","1405000000","1471000000","1336000000","1976000000","1617000000","1761000000","887000000","2194000000","2464000000","2751000000","2337000000","2416000000","2494000000","2188000000","2201000000","1501000000","1702000000","2433000000","2571000000","2559000000","2552000000","2121000000","1965000000","3597000000","2553000000","3548000000","1866000000","1522000000","1179000000","1421000000","1539000000","1475000000","1662000000","2384000000","1412000000","1368000000","1633000000","1387000000","1100000000","754000000","1216000000","1060000000","997000000","984000000","987000000","1080000000","1157000000","1055000000","929000000","1608000000","1651000000","1179000000","1376000000","1225000000","699000000","972000000","",
"Georgia","GEO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46000000","69000000","","69000000","","16000000","","","","","","","","","","","","6000000","7000000","","","",
"Ghana","GHA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","19000000","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","7000000","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","15000000","10000000","18000000","","19000000","31000000","9000000","3000000","2000000","2000000","","6000000","22000000","13000000","23000000","","","","","","","","","","","30000000","","","",
"Grenada","GRD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","10107000000","9847000000","9436000000","12742000000","17027000000","15523000000","13511000000","12827000000","13499000000","17008000000","14156000000","19562000000","18856000000","18982000000","19807000000","24103000000","24173000000","23277000000","23472000000","19206000000","21552000000","26365000000","26231000000","25786000000","23986000000","20926000000","20682000000","21435000000","20715000000","21015000000","18486000000","20014000000","20109000000","20499000000","19821000000","17747000000","18975000000","23826000000","24460000000","18822000000","13742000000","12126000000","10685000000","12132000000","13836000000","15294000000","17708000000","19470000000","16037000000","16898000000","16412000000","18902000000","16362000000","15713000000","19032000000","19737000000","20657000000","23215000000","18700000000","20206000000","",
"Hong Kong SAR, China","HKG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","1000000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","3000000","","","",
"Haiti","HTI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","18000000","18000000","37000000","28000000","","","8000000","44000000","8000000","8000000","","","","","4000000","30000000","4000000","4000000","","","","","","","","","","21000000","","6000000","","24000000","","","","","34000000","","","82000000","","9000000","","","","","","41000000","","","","","","","",
"IBRD only","IBD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","328000000","85000000","","","","","","755000000","","1035000000","","","","","","","","","","","","","","","","","","","","","","","","","","5369000000","","","","","","","","","7373000000","","7348000000","","8209000000","7175000000","","10998000000","","11649000000","8008000000","","10518000000","8326000000","8439000000","6970000000","",
"IDA & IBRD total","IBT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","328000000","85000000","","","","","","762000000","","1035000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7373000000","","","","","","","","8008000000","","10596000000","8334000000","","6971000000","",
"IDA total","IDA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","3000000","","","7000000","0","","17000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","3000000","","","6000000","","","","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","7000000","","","","","","","12000000","","","","","","","","9000000","","4000000","","","","","8000000","4000000","","","","","","","16000000","16000000","25000000","","8000000","","49000000","","16000000","49000000","","25000000","8000000","8000000","","1000000","","","8000000","","","","","86000000","94000000","15000000","8000000","",
"IDA only","IDX","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","1000000","0","","17000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","1000000","","","7000000","2000000","21000000","24000000","31000000","","","27000000","22000000","","","2000000","","","","","0","1000000","0","3000000","0","3000000","9000000","2000000","2000000","0","0","0","0","21000000","2000000","0","4000000","27000000","19000000","33000000","23000000","15000000","27000000","5000000","3000000","","14000000","36000000","42000000","45000000","56000000","43000000","115000000","",
"Not classified","INX","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","2000000","9000000","9000000","2000000","","","","","","","","","","","","","","","","","","","","","","","","16000000","32000000","31000000","28000000","28000000","26000000","1000000","26000000","27000000","14000000","","","","","","",
"Iran, Islamic Rep.","IRN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","3000000","","","","","28000000","","","23000000","6000000","106000000","6000000","129000000","81000000","","","","","0","0","0","0","1000000","1000000","1000000","1000000","1000000","1000000","0","1000000","1000000","1000000","0","1000000","2000000","0","0","0","0","0","3000000","9000000","1000000","2000000","75000000","","43000000","45000000","45000000","86000000","21000000","12000000","47000000","15000000","5000000","20000000","","","",
"Iraq","IRQ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","","","","","","","","","","","","","","","","","","","","28000000","","","","","","","","168000000","20000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","5000000","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Israel","ISR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","5000000","10000000","14000000","13000000","23000000","24000000","13000000","21000000","31000000","13000000","45000000","109000000","54000000","202000000","212000000","190000000","270000000","219000000","256000000","418000000","281000000","208000000","352000000","137000000","75000000","211000000","85000000","151000000","324000000","382000000","296000000","166000000","286000000","247000000","229000000","169000000","404000000","474000000","579000000","409000000","609000000","510000000","406000000","554000000","373000000","744000000","637000000","538000000","455000000","420000000","393000000","720000000","1392000000","1195000000","655000000","369000000","",
"Italy","ITA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","104000000","245000000","261000000","240000000","385000000","295000000","243000000","149000000","192000000","325000000","280000000","395000000","296000000","341000000","417000000","526000000","529000000","505000000","691000000","1303000000","1168000000","1715000000","1689000000","1183000000","1258000000","920000000","228000000","617000000","386000000","335000000","206000000","349000000","248000000","341000000","208000000","297000000","291000000","454000000","426000000","504000000","208000000","270000000","467000000","365000000","263000000","832000000","553000000","749000000","422000000","512000000","539000000","947000000","747000000","862000000","671000000","676000000","618000000","793000000","555000000","491000000","",
"Jamaica","JAM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jordan","JOR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","36000000","","22000000","23000000","50000000","","18000000","","","","","","76000000","","2000000","7000000","","7000000","64000000","","","","","65000000","","","6000000","","","","","","","42000000","20000000","","13000000","13000000","28000000","117000000","","21000000","25000000","114000000","16000000","17000000","80000000","1000000","86000000","",
"Japan","JPN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1000000","61000000","100000000","8000000","14000000","","5000000","","","34000000","","15000000","8000000","34000000","53000000","","","","9000000","11000000","167000000","","","17000000","17000000","44000000","99000000","","","15000000","30000000","68000000","126000000","153000000","162000000","158000000","188000000","32000000","","","","","","","","","","40000000","","","","","","","","","","2000000","3000000","","",
"Kazakhstan","KAZ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000000","12000000","3000000","6000000","183000000","19000000","12000000","","","5000000","","6000000","","","","","","","","","","","","","","",
"Kenya","KEN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","8000000","","","","","","","","","","2000000","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kyrgyz Republic","KGZ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57000000","","","","","","","","92000000","","","18000000","18000000","14000000","","","","","","","4000000","5000000","5000000","","","",
"Cambodia","KHM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","1000000","","","","","","","","","","","","","","","","","","","","",
"Kiribati","KIR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","141000000","","","","","","","105000000","105000000","130000000","65000000","","126000000","33000000","78000000","","51000000","48000000","72000000","118000000","","60000000","7000000","28000000","24000000","21000000","32000000","","10000000","228000000","","96000000","73000000","108000000","158000000","279000000","109000000","224000000","197000000","345000000","218000000","347000000","163000000","101000000","479000000","751000000","1066000000","688000000","",
"Kuwait","KWT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","3000000","","","","","","","","","","","","","24000000","","","","4000000","","","","","","","","","","","","","","95000000","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","2000000","12000000","6000000","","4000000","","","0","","","","","","","","73000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000000","",
"Lao PDR","LAO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","45000000","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","0","0","","26000000","4000000","","8000000","398000000","95000000","107000000","168000000","14000000","54000000","32000000","10000000","14000000","64000000","7000000","36000000","","","","3000000","","","3000000","10000000","","","","21000000","16000000","113000000","113000000","18000000","10000000","18000000","32000000","28000000","0","","","","","","","","","",
"St. Lucia","LCA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","8000000","12000000","6000000","","4000000","","","","","","","","","","","73000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","",
"Least developed countries: UN classification","LDC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","1000000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","1000000","0","","17000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","","","","","","","","","","","","","","","","","","","","","","",
"Lower middle income","LMC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","0","9000000","8000000","5000000","","13000000","9000000","33000000","21000000","39000000","11000000","2000000","21000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low & middle income","LMY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","317000000","80000000","","","","","","453000000","","712000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7508000000","","7103000000","","","","","","","","7965000000","","10591000000","8316000000","","6970000000","",
"Lesotho","LSO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","298000000","52000000","65000000","122000000","304000000","620000000","938000000","723000000","","","","1579000000","1519000000","841000000","","","","","","","","","","","","","","","","","","","","","","5355000000","","","","","","","","","6918000000","5603000000","6453000000","6520000000","7314000000","6435000000","8044000000","10089000000","10076000000","10507000000","6960000000","","9487000000","7565000000","7922000000","","",
"Lithuania","LTU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","","","","","","","","","","","","","","","","60000000","","",
"Luxembourg","LUX","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","",
"Latvia","LVA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9000000","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","2000000","","","","","","","6000000","","","","","","","","","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Monaco","MCO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000000","","36000000","","","217000000","","","6000000","42000000","60000000","13000000","","18000000","3000000","19000000","29000000","20000000","","11000000","","","","","","","","","",
"Madagascar","MDG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa","MEA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","12000000","8000000","7000000","10000000","27000000","52000000","58000000","45000000","92000000","","139000000","","","","","","","","","436000000","","","381000000","","","","","","","","","497000000","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","",
"Marshall Islands","MHL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","317000000","80000000","","","","","","452000000","","712000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7461000000","","7080000000","","","","","","","","7964000000","","10587000000","8316000000","8421000000","6970000000","",
"North Macedonia","MKD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mali","MLI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000000","","","","","","","","","","","5000000","","","","","",
"Myanmar","MMR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","0","12000000","8000000","2000000","","13000000","32000000","32000000","21000000","79000000","42000000","","28000000","154000000","","","","","","158000000","","427000000","207000000","","","","","","","","","","","83000000","","","14000000","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71000000","109000000","","","18000000","","","","","","","0","","","",
"Mongolia","MNG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritius","MUS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malawi","MWI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","",
"Malaysia","MYS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","7000000","","","","","","","","","","","6000000","","","","","3000000","","","","","","","","0","","","","11000000","","","","","","","","","","0","","","","15000000","15000000","","","","","","",
"North America","NAC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","6108000000","6718000000","6116000000","9231000000","12490000000","11262000000","8515000000","7309000000","8646000000","11936000000","9207000000","12013000000","11114000000","12163000000","12901000000","15828000000","15991000000","14556000000","14273000000","9916000000","10893000000","13741000000","14274000000","14067000000","11995000000","10915000000","11912000000","12531000000","12051000000","11396000000","10834000000","12610000000","14261000000","14002000000","11693000000","11481000000","11038000000","14626000000","15773000000","11641000000","7651000000","5735000000","5130000000","5947000000","7129000000","7012000000","7765000000","8174000000","7044000000","7062000000","8283000000","9318000000","9351000000","7699000000","9811000000","10309000000","9975000000","12122000000","10525000000","10940000000","",
"Namibia","NAM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Caledonia","NCL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","2000000","","72000000","17000000","","5000000","","","","","","","","","","","","","","","","","","","","","","","","","",
